indicator_name,label,module,data_variable,variable_type,numerator_rule,denominator_rule,missing_rule,domain_variable,domain_value,dimensions,statistic_type,target_category,ci_method,ci_methods_by_dimension,department_categories,source_spss,sql_definition,source_reference_file,source_reference_sha256,source_dictionary_pdf,status
Agresor_VF_H__AG_VF_01,Agresor_VF_H__AG_VF_01,3.1 Características y percepciones,Agresor_VF_H__AG_VF_01,binary_materialized,Agresor_VF_H__AG_VF_01 == 1,VF_HOGAR == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VF_HOGAR,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VF_H__AG_VF_02,Agresor_VF_H__AG_VF_02,3.1 Características y percepciones,Agresor_VF_H__AG_VF_02,binary_materialized,Agresor_VF_H__AG_VF_02 == 1,VF_HOGAR == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VF_HOGAR,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VF_H__AG_VF_03,Agresor_VF_H__AG_VF_03,3.1 Características y percepciones,Agresor_VF_H__AG_VF_03,binary_materialized,Agresor_VF_H__AG_VF_03 == 1,VF_HOGAR == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VF_HOGAR,1,Nacional,prevalence,1,wald,Nacional=>wald,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VF_H__AG_VF_04,Agresor_VF_H__AG_VF_04,3.1 Características y percepciones,Agresor_VF_H__AG_VF_04,binary_materialized,Agresor_VF_H__AG_VF_04 == 1,VF_HOGAR == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VF_HOGAR,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VF_H__AG_VF_05,Agresor_VF_H__AG_VF_05,3.1 Características y percepciones,Agresor_VF_H__AG_VF_05,binary_materialized,Agresor_VF_H__AG_VF_05 == 1,VF_HOGAR == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VF_HOGAR,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VF_H__AG_VF_06,Agresor_VF_H__AG_VF_06,3.1 Características y percepciones,Agresor_VF_H__AG_VF_06,binary_materialized,Agresor_VF_H__AG_VF_06 == 1,VF_HOGAR == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VF_HOGAR,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VF_H__AG_VF_07,Agresor_VF_H__AG_VF_07,3.1 Características y percepciones,Agresor_VF_H__AG_VF_07,binary_materialized,Agresor_VF_H__AG_VF_07 == 1,VF_HOGAR == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VF_HOGAR,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VF_H__AG_VF_08,Agresor_VF_H__AG_VF_08,3.1 Características y percepciones,Agresor_VF_H__AG_VF_08,binary_materialized,Agresor_VF_H__AG_VF_08 == 1,VF_HOGAR == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VF_HOGAR,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VP_E__AG_VP_01,Agresor_VP_E__AG_VP_01,3.1 Características y percepciones,Agresor_VP_E__AG_VP_01,binary_materialized,Agresor_VP_E__AG_VP_01 == 1,VP_ESCUELA == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VP_ESCUELA,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VP_E__AG_VP_02,Agresor_VP_E__AG_VP_02,3.1 Características y percepciones,Agresor_VP_E__AG_VP_02,binary_materialized,Agresor_VP_E__AG_VP_02 == 1,VP_ESCUELA == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VP_ESCUELA,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VP_E__AG_VP_03,Agresor_VP_E__AG_VP_03,3.1 Características y percepciones,Agresor_VP_E__AG_VP_03,binary_materialized,Agresor_VP_E__AG_VP_03 == 1,VP_ESCUELA == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VP_ESCUELA,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VP_E__AG_VP_04,Agresor_VP_E__AG_VP_04,3.1 Características y percepciones,Agresor_VP_E__AG_VP_04,binary_materialized,Agresor_VP_E__AG_VP_04 == 1,VP_ESCUELA == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VP_ESCUELA,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VP_E__AG_VP_05,Agresor_VP_E__AG_VP_05,3.1 Características y percepciones,Agresor_VP_E__AG_VP_05,binary_materialized,Agresor_VP_E__AG_VP_05 == 1,VP_ESCUELA == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VP_ESCUELA,1,Nacional,prevalence,1,wald,Nacional=>wald,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VP_E__AG_VP_06,Agresor_VP_E__AG_VP_06,3.1 Características y percepciones,Agresor_VP_E__AG_VP_06,binary_materialized,Agresor_VP_E__AG_VP_06 == 1,VP_ESCUELA == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VP_ESCUELA,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VP_E__AG_VP_07,Agresor_VP_E__AG_VP_07,3.1 Características y percepciones,Agresor_VP_E__AG_VP_07,binary_materialized,Agresor_VP_E__AG_VP_07 == 1,VP_ESCUELA == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VP_ESCUELA,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VP_E__AG_VP_08,Agresor_VP_E__AG_VP_08,3.1 Características y percepciones,Agresor_VP_E__AG_VP_08,binary_materialized,Agresor_VP_E__AG_VP_08 == 1,VP_ESCUELA == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VP_ESCUELA,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VP_H__AG_VP_01,Agresor_VP_H__AG_VP_01,3.1 Características y percepciones,Agresor_VP_H__AG_VP_01,binary_materialized,Agresor_VP_H__AG_VP_01 == 1,VP_HOGAR == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VP_HOGAR,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VP_H__AG_VP_02,Agresor_VP_H__AG_VP_02,3.1 Características y percepciones,Agresor_VP_H__AG_VP_02,binary_materialized,Agresor_VP_H__AG_VP_02 == 1,VP_HOGAR == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VP_HOGAR,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VP_H__AG_VP_03,Agresor_VP_H__AG_VP_03,3.1 Características y percepciones,Agresor_VP_H__AG_VP_03,binary_materialized,Agresor_VP_H__AG_VP_03 == 1,VP_HOGAR == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VP_HOGAR,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VP_H__AG_VP_04,Agresor_VP_H__AG_VP_04,3.1 Características y percepciones,Agresor_VP_H__AG_VP_04,binary_materialized,Agresor_VP_H__AG_VP_04 == 1,VP_HOGAR == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VP_HOGAR,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VP_H__AG_VP_05,Agresor_VP_H__AG_VP_05,3.1 Características y percepciones,Agresor_VP_H__AG_VP_05,binary_materialized,Agresor_VP_H__AG_VP_05 == 1,VP_HOGAR == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VP_HOGAR,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VP_H__AG_VP_06,Agresor_VP_H__AG_VP_06,3.1 Características y percepciones,Agresor_VP_H__AG_VP_06,binary_materialized,Agresor_VP_H__AG_VP_06 == 1,VP_HOGAR == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VP_HOGAR,1,Nacional,prevalence,1,wald,Nacional=>wald,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VP_H__AG_VP_07,Agresor_VP_H__AG_VP_07,3.1 Características y percepciones,Agresor_VP_H__AG_VP_07,binary_materialized,Agresor_VP_H__AG_VP_07 == 1,VP_HOGAR == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VP_HOGAR,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VP_H__AG_VP_08,Agresor_VP_H__AG_VP_08,3.1 Características y percepciones,Agresor_VP_H__AG_VP_08,binary_materialized,Agresor_VP_H__AG_VP_08 == 1,VP_HOGAR == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VP_HOGAR,1,Nacional,prevalence,1,logit,Nacional=>logit,,07_CRS04_3.1_Caracteristicas_violencia_Percepciones_ver6.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VS_12M__AG_01,Agresor_VS_12M__AG_01,3.4 Violencia sexual,Agresor_VS_12M__AG_01,binary_materialized,Agresor_VS_12M__AG_01 == 1,VS_12M == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VS_12M,1,Nacional,prevalence,1,logit,Nacional=>logit,,10/10b_CRS04_3.4*.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VS_12M__AG_02,Agresor_VS_12M__AG_02,3.4 Violencia sexual,Agresor_VS_12M__AG_02,binary_materialized,Agresor_VS_12M__AG_02 == 1,VS_12M == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VS_12M,1,Nacional,prevalence,1,logit,Nacional=>logit,,10/10b_CRS04_3.4*.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
Agresor_VS_12M__AG_03,Agresor_VS_12M__AG_03,3.4 Violencia sexual,Agresor_VS_12M__AG_03,binary_materialized,Agresor_VS_12M__AG_03 == 1,VS_12M == 1,SYSMIS/NULL tratado literalmente por la sintaxis SPSS; R usa na.rm dentro del dominio,VS_12M,1,Nacional,prevalence,1,logit,Nacional=>logit,,10/10b_CRS04_3.4*.sps,02SQL/stage3_08*.sql; bloque exacto registrado en stage3_spss_block_lineage.csv,spss_reference_results.csv,667f82c959c4a59e30e40e1f94ecc7108ed38790f9234b75c4fda83bd6a25fc0,No usado como autoridad de cálculo; validar metadata Stage 02 si se exige trazabilidad PDF,implemented_and_required_by_spss_reference
